Run,Beta1,EventType,Overlap,Blocksize,Checkpoint,Mean,Median,Std
experimental_run_58,0.1,HiggsGluonFusion,0,256,Annealing_in_blocks,118.42830540037244,118.0,13.157091515994662
experimental_run_58,0.1,HiggsGluonFusion,0,256,collapsing outliers,175.19304779639975,174.0,19.877401776895372
experimental_run_58,0.1,HiggsGluonFusion,0,256,eliminating insignificant (purge),132.91458721291124,132.0,13.085776668996461
experimental_run_58,0.1,HiggsGluonFusion,0,256,final time and size,132.91458721291124,132.0,13.085776668996461
experimental_run_58,0.1,HiggsGluonFusion,0,256,further cooling,175.95096213531968,175.0,20.007434767979746
experimental_run_58,0.1,HiggsGluonFusion,0,256,global Annealing,148.75965238982,148.0,15.758997441963091
experimental_run_58,0.1,HiggsGluonFusion,0,256,some more cooling,132.91458721291124,132.0,13.085776668996461
experimental_run_58,0.1,HiggsGluonFusion,0,256,thermalizing_after_loops,145.4911235257604,145.0,15.339681388383092
experimental_run_58,0.1,HiggsGluonFusion,0,256,thermalizing_between_loops,100.95245189323401,101.0,10.239985926741998
experimental_run_58,0.1,HiggsGluonFusion,0,1024,Annealing_in_blocks,98.10736081703824,97.0,13.04653935761242
experimental_run_58,0.1,HiggsGluonFusion,0,1024,collapsing outliers,173.32955536181342,172.0,19.852940894148833
experimental_run_58,0.1,HiggsGluonFusion,0,1024,eliminating insignificant (purge),132.34524847428074,131.0,13.107765792438427
experimental_run_58,0.1,HiggsGluonFusion,0,1024,final time and size,132.34524847428074,131.0,13.107765792438427
experimental_run_58,0.1,HiggsGluonFusion,0,1024,further cooling,173.9526715655748,173.0,19.958957686402837
experimental_run_58,0.1,HiggsGluonFusion,0,1024,global Annealing,139.43392701457216,139.0,16.595506526049665
experimental_run_58,0.1,HiggsGluonFusion,0,1024,some more cooling,132.34524847428074,131.0,13.107765792438427
experimental_run_58,0.1,HiggsGluonFusion,0,1024,thermalizing_after_loops,136.29692365176237,135.0,16.094723554932237
experimental_run_58,0.1,HiggsGluonFusion,0,1024,thermalizing_between_loops,90.56121559347366,90.0,11.355552619904216
experimental_run_58,0.1,HiggsGluonFusion,30,256,Annealing_in_blocks,170.43039559339007,169.0,18.230897719124098
experimental_run_58,0.1,HiggsGluonFusion,30,256,collapsing outliers,201.714446670005,201.0,21.01975095578987
