Run,Beta1,Overlap,Blocksize,Checkpoint,Mean,Median,Std
experimental_run_50,0.5,0,256,Annealing_in_blocks,28323.966747488743,28323.966747488743,
experimental_run_50,0.5,0,256,collapsing outliers,902.2878420505715,902.2878420505715,
experimental_run_50,0.5,0,256,eliminating insignificant (purge),127212.50640803602,127212.50640803602,
experimental_run_50,0.5,0,256,final time and size,377803.11603740905,377803.11603740905,
experimental_run_50,0.5,0,256,further cooling,65684.4897817804,65684.4897817804,
experimental_run_50,0.5,0,256,global Annealing,44923.60512642882,44923.60512642882,
experimental_run_50,0.5,0,256,some more cooling,8697.321440942154,8697.321440942154,
experimental_run_50,0.5,0,256,thermalizing_after_loops,4891.894007620367,4891.894007620367,
experimental_run_50,0.5,0,256,thermalizing_between_loops,31045.272601316246,31045.272601316246,
experimental_run_50,0.5,0,512,Annealing_in_blocks,42361.716392318245,42361.716392318245,
experimental_run_50,0.5,0,512,collapsing outliers,784.2448559670781,784.2448559670781,
experimental_run_50,0.5,0,512,eliminating insignificant (purge),122215.97496570645,122215.97496570645,
experimental_run_50,0.5,0,512,final time and size,380991.00068587105,380991.00068587105,
experimental_run_50,0.5,0,512,further cooling,68959.99005486969,68959.99005486969,
experimental_run_50,0.5,0,512,global Annealing,45978.712620027436,45978.712620027436,
experimental_run_50,0.5,0,512,some more cooling,8390.548010973936,8390.548010973936,
experimental_run_50,0.5,0,512,thermalizing_after_loops,4718.705761316873,4718.705761316873,
experimental_run_50,0.5,0,512,thermalizing_between_loops,23022.852880658436,23022.852880658436,
experimental_run_50,0.5,0,1024,Annealing_in_blocks,74336.71172693478,74336.71172693478,
experimental_run_50,0.5,0,1024,collapsing outliers,753.5086177762757,753.5086177762757,
experimental_run_50,0.5,0,1024,eliminating insignificant (purge),127139.82595471443,127139.82595471443,
experimental_run_50,0.5,0,1024,final time and size,433508.4650219669,433508.4650219669,
experimental_run_50,0.5,0,1024,further cooling,81668.0469753295,81668.0469753295,
experimental_run_50,0.5,0,1024,global Annealing,50300.525515376816,50300.525515376816,
experimental_run_50,0.5,0,1024,some more cooling,8865.85873605948,8865.85873605948,
experimental_run_50,0.5,0,1024,thermalizing_after_loops,4820.909766813113,4820.909766813113,
experimental_run_50,0.5,0,1024,thermalizing_between_loops,18748.749577559985,18748.749577559985,
experimental_run_50,0.5,0,2048,Annealing_in_blocks,123245.02782490669,123245.02782490669,
experimental_run_50,0.5,0,2048,collapsing outliers,679.2073294876145,679.2073294876145,
experimental_run_50,0.5,0,2048,eliminating insignificant (purge),118936.223956566,118936.223956566,
experimental_run_50,0.5,0,2048,final time and size,477306.18561248726,477306.18561248726,
experimental_run_50,0.5,0,2048,further cooling,90833.86528673227,90833.86528673227,
experimental_run_50,0.5,0,2048,global Annealing,49671.82728198168,49671.82728198168,
experimental_run_50,0.5,0,2048,some more cooling,8615.002375296912,8615.002375296912,
