Run,Beta1,EventType,Overlap,Blocksize,Checkpoint,Mean,Median,Std
experimental_run_62,DAB,HiggsGluonFusion,0,256,Annealing_in_blocks,13297.875074859265,12091.0,3392.757785500768
experimental_run_62,DAB,HiggsGluonFusion,0,256,collapsing outliers,954.4141813390826,783.0,1134.1104976846057
experimental_run_62,DAB,HiggsGluonFusion,0,256,eliminating insignificant (purge),116489.26841537909,107222.0,47874.69102497063
experimental_run_62,DAB,HiggsGluonFusion,0,256,final time and size,484524.9384357408,458324.0,149092.6943585103
experimental_run_62,DAB,HiggsGluonFusion,0,256,further cooling,48203.11151036052,45291.0,16926.26844363141
experimental_run_62,DAB,HiggsGluonFusion,0,256,global Annealing,210529.00347346987,200753.0,61322.45202228354
experimental_run_62,DAB,HiggsGluonFusion,0,256,some more cooling,7896.796263025512,7000.0,3770.552970673266
experimental_run_62,DAB,HiggsGluonFusion,0,256,thermalizing_after_loops,4396.521020481495,3686.0,2976.109465234938
experimental_run_62,DAB,HiggsGluonFusion,0,256,thermalizing_between_loops,16535.334650856388,14929.0,7982.468030025651
experimental_run_62,DAB,SToMuMu,0,256,Annealing_in_blocks,13043.76740506329,13377.5,3086.443879388667
experimental_run_62,DAB,SToMuMu,0,256,collapsing outliers,963.131329113924,757.5,1155.6037027238624
experimental_run_62,DAB,SToMuMu,0,256,eliminating insignificant (purge),116202.14556962025,110475.5,45386.365819576364
experimental_run_62,DAB,SToMuMu,0,256,final time and size,481006.95411392406,473489.5,138470.4597250339
experimental_run_62,DAB,SToMuMu,0,256,further cooling,47893.34335443038,46251.0,15651.514702499397
experimental_run_62,DAB,SToMuMu,0,256,global Annealing,208547.54588607594,203708.0,57765.73817196978
experimental_run_62,DAB,SToMuMu,0,256,some more cooling,7775.143987341772,7045.5,3429.1076502750007
experimental_run_62,DAB,SToMuMu,0,256,thermalizing_after_loops,4428.026898734177,3687.5,2972.5318290492937
experimental_run_62,DAB,SToMuMu,0,256,thermalizing_between_loops,16519.441455696204,15504.0,7808.858428842327
experimental_run_62,DAB,TTbar,0,256,Annealing_in_blocks,12824.642586352149,11628.5,3240.067648532576
experimental_run_62,DAB,TTbar,0,256,collapsing outliers,931.3163437236731,769.0,1115.1225165195513
experimental_run_62,DAB,TTbar,0,256,eliminating insignificant (purge),114602.76621735467,105654.0,46695.74036777146
experimental_run_62,DAB,TTbar,0,256,final time and size,473179.15796124685,446470.0,145583.58879979272
experimental_run_62,DAB,TTbar,0,256,further cooling,47677.98357203033,44760.5,16274.486229580514
experimental_run_62,DAB,TTbar,0,256,global Annealing,205954.27716933447,195531.5,60876.73950692976
experimental_run_62,DAB,TTbar,0,256,some more cooling,7658.447556866049,6755.5,3609.6183318125222
experimental_run_62,DAB,TTbar,0,256,thermalizing_after_loops,4319.8458298230835,3633.0,2912.970679516614
experimental_run_62,DAB,TTbar,0,256,thermalizing_between_loops,16175.110151642797,14571.5,7823.206186300255
experimental_run_62,DAB,ZMM,0,256,Annealing_in_blocks,13007.392867198498,11754.0,3302.6750526538276
experimental_run_62,DAB,ZMM,0,256,collapsing outliers,929.559643359925,767.0,1111.4935577135027
experimental_run_62,DAB,ZMM,0,256,eliminating insignificant (purge),113480.2844673862,105133.0,45553.435874715484
experimental_run_62,DAB,ZMM,0,256,final time and size,473155.7579540122,445965.0,144187.19937457822
experimental_run_62,DAB,ZMM,0,256,further cooling,46998.39418113562,43978.0,16162.507556410405
experimental_run_62,DAB,ZMM,0,256,global Annealing,206292.3557954012,195542.0,60330.95139487387
experimental_run_62,DAB,ZMM,0,256,some more cooling,7676.163303613327,6807.0,3593.5980842448193
experimental_run_62,DAB,ZMM,0,256,thermalizing_after_loops,4304.408540591272,3648.0,2837.279569286679
experimental_run_62,DAB,ZMM,0,256,thermalizing_between_loops,16179.743594556547,14592.0,7855.980879106257
